Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
00F9113E  push aminstantservice-8.43.37.0.10FB4D0                           "firewallAPI.dll"
00F9115D  push aminstantservice-8.43.37.0.10FB4E0                           "NetworkIsolationEnumAppContainers"
00F91165  push aminstantservice-8.43.37.0.10FB504                           "NetworkIsolationSetAppContainerConfig"
00F911E7  push aminstantservice-8.43.37.0.10FB52C                           "windows_ie_ac"
00F91462  push aminstantservice-8.43.37.0.10FB61C                           "Global\\AMInstantService"
00F914D3  push aminstantservice-8.43.37.0.10FB61C                           "Global\\AMInstantService"
00F91531  push aminstantservice-8.43.37.0.10FB920                           "    usage: aminstantservice COMMAND...\n"
00F91545  push aminstantservice-8.43.37.0.10FB94C                           "    commands:\n"
00F91568  push aminstantservice-8.43.37.0.10FB95C                           "      %-10s  -  %s\n"
00F915A6  push aminstantservice-8.43.37.0.10FB974                           "aminstantservice v%d.%d.%d\n"
00F915EC  mov edx,aminstantservice-8.43.37.0.10FB990                        "--console"
00F9161C  mov edx,aminstantservice-8.43.37.0.10FB99C                        "--help"
00F9164C  mov edx,aminstantservice-8.43.37.0.10FB9A4                        "--version"
00F91A6E  push aminstantservice-8.43.37.0.10FBE98                           "invalid string position"
00F91C5D  push aminstantservice-8.43.37.0.10FBE88                           "string too long"
00F91D15  push aminstantservice-8.43.37.0.10FBE98                           "invalid string position"
00F91D51  push aminstantservice-8.43.37.0.10FBE88                           "string too long"
00F91E5F  push aminstantservice-8.43.37.0.10FBE88                           "string too long"
00F91F41  push aminstantservice-8.43.37.0.10FBEB0                           "map/set<T> too long"
00F921C3  push aminstantservice-8.43.37.0.10FB9B0                           "*\\GameHouseApp.exe"
00F9265F  push aminstantservice-8.43.37.0.10FB9C4                           "gamehouse.com"
00F926AB  push aminstantservice-8.43.37.0.10FB9D4                           "gamehousebeta.com"
00F926F6  push aminstantservice-8.43.37.0.10FB9E8                           "zibbo.com"
00F92741  push aminstantservice-8.43.37.0.10FB9F4                           "zylom.com"
00F9278C  push aminstantservice-8.43.37.0.10FBA00                           "trygames.com"
00F9284F  push aminstantservice-8.43.37.0.10FBC50                           "activeMARK Instant Service"
00F92876  push aminstantservice-8.43.37.0.10FBC6C                           "AMInstantService"
00F9294B  push aminstantservice-8.43.37.0.10FBC80                           "%s"
00F9297C  push aminstantservice-8.43.37.0.10FBC84                           "Service has been successfully started!"
00F92A2F  push aminstantservice-8.43.37.0.10FBCAC                           "activeMARK Instant Service"
00F92A56  push aminstantservice-8.43.37.0.10FBCC8                           "AMInstantService"
00F92B2B  push aminstantservice-8.43.37.0.10FBCDC                           "%s"
00F92B5C  push aminstantservice-8.43.37.0.10FBCE0                           "Service has been successfully stopped!"
00F92BF3  push aminstantservice-8.43.37.0.10FBD08                           "Enhances gaming experience from the web browsers"
00F92C15  push aminstantservice-8.43.37.0.10FBD3C                           "activeMARK Instant Service"
00F92C3C  push aminstantservice-8.43.37.0.10FBD58                           "AMInstantService"
00F92D04  push aminstantservice-8.43.37.0.10FBD6C                           "--service-run"
00F92D7A  push aminstantservice-8.43.37.0.10FBD7C                           "%s"
00F92DAB  push aminstantservice-8.43.37.0.10FBD80                           "Service has been successfully installed!"
00F92E44  push aminstantservice-8.43.37.0.10FBDAC                           "Enhances gaming experience from the web browsers"
00F92E60  push aminstantservice-8.43.37.0.10FBDE0                           "activeMARK Instant Service"
00F92E87  push aminstantservice-8.43.37.0.10FBDFC                           "AMInstantService"
00F9300F  push aminstantservice-8.43.37.0.10FBE10                           "activeMARK Instant Service"
00F93036  push aminstantservice-8.43.37.0.10FBE2C                           "AMInstantService"
00F9310B  push aminstantservice-8.43.37.0.10FBE40                           "%s"
00F9313C  push aminstantservice-8.43.37.0.10FBE44                           "Service has been successfully uninstalled!"
00F931D2  push aminstantservice-8.43.37.0.10FBEC4                           "invalid map/set<T> iterator"
00F9365D  push aminstantservice-8.43.37.0.10FBA10                           "evt"
