Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0035113E  push aminstantservice.4BC4D0                                      "firewallAPI.dll"
0035115D  push aminstantservice.4BC4E0                                      "NetworkIsolationEnumAppContainers"
00351165  push aminstantservice.4BC504                                      "NetworkIsolationSetAppContainerConfig"
003511E7  push aminstantservice.4BC52C                                      "windows_ie_ac"
00351452  push aminstantservice.4BC61C                                      "Global\\AMInstantService"
003514C3  push aminstantservice.4BC61C                                      "Global\\AMInstantService"
00351521  push aminstantservice.4BC920                                      "    usage: aminstantservice COMMAND...\n"
00351535  push aminstantservice.4BC94C                                      "    commands:\n"
00351558  push aminstantservice.4BC95C                                      "      %-10s  -  %s\n"
00351596  push aminstantservice.4BC974                                      "aminstantservice v%d.%d.%d\n"
003515DC  mov edx,aminstantservice.4BC990                                   "--console"
0035160C  mov edx,aminstantservice.4BC99C                                   "--help"
0035163C  mov edx,aminstantservice.4BC9A4                                   "--version"
00351A6E  push aminstantservice.4BCEDC                                      "invalid string position"
00351C5D  push aminstantservice.4BCECC                                      "string too long"
00351D15  push aminstantservice.4BCEDC                                      "invalid string position"
00351D51  push aminstantservice.4BCECC                                      "string too long"
00351E5F  push aminstantservice.4BCECC                                      "string too long"
00351F43  push aminstantservice.4BC9B0                                      "*\\GameHouseApp.exe"
003523DF  push aminstantservice.4BC9C4                                      "gamehouse.com"
0035242B  push aminstantservice.4BC9D4                                      "gamehousebeta.com"
00352476  push aminstantservice.4BC9E8                                      "zibbo.com"
003524C1  push aminstantservice.4BC9F4                                      "zylom.com"
0035250C  push aminstantservice.4BCA00                                      "trygames.com"
003525CF  push aminstantservice.4BCC94                                      "activeMARK Instant Service"
003525F6  push aminstantservice.4BCCB0                                      "AMInstantService"
003526CB  push aminstantservice.4BCCC4                                      "%s"
003526FC  push aminstantservice.4BCCC8                                      "Service has been successfully started!"
003527AF  push aminstantservice.4BCCF0                                      "activeMARK Instant Service"
003527D6  push aminstantservice.4BCD0C                                      "AMInstantService"
003528AB  push aminstantservice.4BCD20                                      "%s"
003528DC  push aminstantservice.4BCD24                                      "Service has been successfully stopped!"
00352973  push aminstantservice.4BCD4C                                      "Enhances gaming experience from the web browsers"
