Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0130113E  push aminstantservice.146C4D0                                     "firewallAPI.dll"
0130115D  push aminstantservice.146C4E0                                     "NetworkIsolationEnumAppContainers"
01301165  push aminstantservice.146C504                                     "NetworkIsolationSetAppContainerConfig"
013011E7  push aminstantservice.146C52C                                     "windows_ie_ac"
01301452  push aminstantservice.146C61C                                     "Global\\AMInstantService"
013014C3  push aminstantservice.146C61C                                     "Global\\AMInstantService"
01301521  push aminstantservice.146C920                                     "    usage: aminstantservice COMMAND...\n"
01301535  push aminstantservice.146C94C                                     "    commands:\n"
01301558  push aminstantservice.146C95C                                     "      %-10s  -  %s\n"
01301596  push aminstantservice.146C974                                     "aminstantservice v%d.%d.%d\n"
013015DC  mov edx,aminstantservice.146C990                                  "--console"
0130160C  mov edx,aminstantservice.146C99C                                  "--help"
0130163C  mov edx,aminstantservice.146C9A4                                  "--version"
01301B1E  push aminstantservice.146CEDC                                     "invalid string position"
01301D0D  push aminstantservice.146CECC                                     "string too long"
01301DC5  push aminstantservice.146CEDC                                     "invalid string position"
01301E01  push aminstantservice.146CECC                                     "string too long"
01301F0F  push aminstantservice.146CECC                                     "string too long"
01301FF1  push aminstantservice.146CEF4                                     "map/set<T> too long"
01302273  push aminstantservice.146C9B0                                     "*\\GameHouseApp.exe"
01302367  push aminstantservice.146CF08                                     "invalid map/set<T> iterator"
0130291F  push aminstantservice.146C9C4                                     "gamehouse.com"
0130296B  push aminstantservice.146C9D4                                     "gamehousebeta.com"
013029B6  push aminstantservice.146C9E8                                     "zibbo.com"
01302A01  push aminstantservice.146C9F4                                     "zylom.com"
01302A4C  push aminstantservice.146CA00                                     "trygames.com"
01302B0F  push aminstantservice.146CC94                                     "activeMARK Instant Service"
01302B36  push aminstantservice.146CCB0                                     "AMInstantService"
01302C0B  push aminstantservice.146CCC4                                     "%s"
01302C3C  push aminstantservice.146CCC8                                     "Service has been successfully started!"
01302CEF  push aminstantservice.146CCF0                                     "activeMARK Instant Service"
01302D16  push aminstantservice.146CD0C                                     "AMInstantService"
01302DEB  push aminstantservice.146CD20                                     "%s"
01302E1C  push aminstantservice.146CD24                                     "Service has been successfully stopped!"
01302EB3  push aminstantservice.146CD4C                                     "Enhances gaming experience from the web browsers"
01302ED5  push aminstantservice.146CD80                                     "activeMARK Instant Service"
01302EFC  push aminstantservice.146CD9C                                     "AMInstantService"
01302FC4  push aminstantservice.146CDB0                                     "--service-run"
0130303A  push aminstantservice.146CDC0                                     "%s"
0130306B  push aminstantservice.146CDC4                                     "Service has been successfully installed!"
01303104  push aminstantservice.146CDF0                                     "Enhances gaming experience from the web browsers"
01303120  push aminstantservice.146CE24                                     "activeMARK Instant Service"
01303147  push aminstantservice.146CE40                                     "AMInstantService"
013032CF  push aminstantservice.146CE54                                     "activeMARK Instant Service"
013032F6  push aminstantservice.146CE70                                     "AMInstantService"
013033CB  push aminstantservice.146CE84                                     "%s"
013033FC  push aminstantservice.146CE88                                     "Service has been successfully uninstalled!"
01303562  push aminstantservice.146CF08                                     "invalid map/set<T> iterator"
01303B0D  push aminstantservice.146CA10                                     "evt"
01303B1D  push aminstantservice.146CA14                                     "exception"
01303B44  push aminstantservice.146CA20                                     "logname"
01303B51  push aminstantservice.146CA28                                     "am-aminstant-exception"
01303B78  push aminstantservice.146CA40                                     "exception"
01303B85  push aminstantservice.146CA4C                                     "unhandled"
01303BAC  push aminstantservice.146CA58                                     "exception_code"
01303BC4  push aminstantservice.146CA68                                     "0x%08x"
01303C05  push aminstantservice.146CA70                                     "exception_flags"
01303C1B  push aminstantservice.146CA80                                     "0x%08x"
01303C5C  push aminstantservice.146CA88                                     "exception_address"
01303C72  push aminstantservice.146CA9C                                     "0x%08x"
01303CBB  push aminstantservice.146CAA4                                     "internal"
01303D2C  push aminstantservice.146CAB0                                     "exception_address"
01303D39  push aminstantservice.146CAC4                                     "exception_flags"
01303D4A  push aminstantservice.146CAD4                                     "exception_code"
01303DED  push aminstantservice.146CAE4                                     "AmInstantService::exception: code=%s, flags=%s, address=%s"
01303F5A  mov ecx,aminstantservice.146CB20                                  "exit"
01303FB8  push aminstantservice.146CB28                                     "v8.46.46 ActiveMARK[R] R8.46"
01303FC0  push aminstantservice.146CB48                                     "Starting AmInstantService %s"
0130401A  push aminstantservice.146CB68                                     "evt"
0130402E  push aminstantservice.146CB6C                                     "servicestart"
01304056  push aminstantservice.146CB7C                                     "logname"
01304063  push aminstantservice.146CB84                                     "am-aminstant-servicestart"
01304093  push aminstantservice.146CBA0                                     "internal"
013041E4  push aminstantservice.146CBAC                                     "Started!\n"
013041F1  push aminstantservice.146CBB8                                     "http"
013042AA  push aminstantservice.146CC4C                                     "Stopping service"
01304352  push aminstantservice.146CBC0                                     "Unexpected error occurred: %s\n"
0130436C  push aminstantservice.146CBE0                                     "AmInstantService: unexpected error occurred (desc=%s)\n"
013043A2  push aminstantservice.146CC18                                     "Unknown error"
013043AF  push aminstantservice.146CC28                                     "AmInstantService: unknown exception"
0130447F  push aminstantservice.146CC60                                     "activeMARK Instant Service"
013044A6  push aminstantservice.146CC7C                                     "AMInstantService"
01304580  push aminstantservice.146CC90                                     "%s"
0130460B  mov ecx,aminstantservice.146CEC0                                  "--console"
0130488E  push aminstantservice.146CF2C                                     "\" "
01304ABE  push aminstantservice.146D158                                     "kernel32.dll"
01304ADC  push aminstantservice.146D168                                     "Wtsapi32.dll"
01304AE8  push aminstantservice.146D178                                     "advapi32.dll"
01304AF2  push aminstantservice.146D188                                     "Userenv.dll"
01304B27  push aminstantservice.146D1A8                                     "WTSEnumerateSessionsW"
01304B2F  push aminstantservice.146D1C0                                     "WTSFreeMemory"
01304B3C  push aminstantservice.146D1D0                                     "WTSQueryUserToken"
01304B49  push aminstantservice.146D1E4                                     "CreateEnvironmentBlock"
01304B5A  push aminstantservice.146D1FC                                     "DestroyEnvironmentBlock"
01304B65  push aminstantservice.146D214                                     "DuplicateTokenEx"
01304C9E  push aminstantservice.146D268                                     "\" "
01304CB3  mov dword ptr ss:[ebp-11C],aminstantservice.146D244               L"Winsta0\\Default"
01304E05  mov dword ptr ss:[ebp-70],aminstantservice.146D228                "Cannot get a valid token"
01304E3E  mov dword ptr ss:[ebp-64],aminstantservice.146D194                "Cannot load library"
0130530A  push aminstantservice.146D2F8                                     "kernel32.dll"
01305326  push aminstantservice.146D308                                     "GetModuleFileNameExW"
01305338  push aminstantservice.146D320                                     "psapi.dll"
01305345  push aminstantservice.146D32C                                     "GetModuleFileNameExW"
013055AE  push aminstantservice.146CF30                                     "kernel32.dll"
013055C9  push aminstantservice.146CF40                                     "Wtsapi32.dll"
013055D5  push aminstantservice.146CF50                                     "advapi32.dll"
013055DF  push aminstantservice.146CF60                                     "Userenv.dll"
01305614  push aminstantservice.146CF80                                     "WTSEnumerateSessionsW"
0130561C  push aminstantservice.146CF98                                     "WTSFreeMemory"
01305626  push aminstantservice.146CFA8                                     "WTSQueryUserToken"
01305634  push aminstantservice.146CFBC                                     "CreateEnvironmentBlock"
0130563F  push aminstantservice.146CFD4                                     "DestroyEnvironmentBlock"
0130564D  push aminstantservice.146CFEC                                     "DuplicateTokenEx"
0130575A  mov dword ptr ss:[ebp-70],aminstantservice.146D000                "Cannot get a valid token"
013058B9  push aminstantservice.146D040                                     "\" "
013058CE  mov dword ptr ss:[ebp-114],aminstantservice.146D01C               L"Winsta0\\Default"
01305A41  mov dword ptr ss:[ebp-68],aminstantservice.146CF6C                "Cannot load library"
01305B8F  push aminstantservice.146D044                                     "kernel32.dll"
01305B9C  push aminstantservice.146D054                                     "Wtsapi32.dll"
01305BA8  push aminstantservice.146D064                                     "advapi32.dll"
01305BB2  push aminstantservice.146D074                                     "Userenv.dll"
01305BE7  push aminstantservice.146D094                                     "WTSEnumerateSessionsW"
01305BEF  push aminstantservice.146D0AC                                     "WTSFreeMemory"
01305BF9  push aminstantservice.146D0BC                                     "WTSQueryUserToken"
01305C07  push aminstantservice.146D0D0                                     "CreateEnvironmentBlock"
01305C12  push aminstantservice.146D0E8                                     "DestroyEnvironmentBlock"
01305C20  push aminstantservice.146D100                                     "DuplicateTokenEx"
01305D25  mov dword ptr ss:[ebp-80],aminstantservice.146D114                "Cannot get a valid token"
01305E7C  push aminstantservice.146D154                                     "\" "
01305E91  mov dword ptr ss:[ebp-124],aminstantservice.146D130               L"Winsta0\\Default"
013060A0  mov dword ptr ss:[ebp-78],aminstantservice.146D080                "Cannot load library"
0130632D  push aminstantservice.146D34C                                     "list<T> too long"
01306990  push aminstantservice.146D34C                                     "list<T> too long"
01306B38  push aminstantservice.146C608                                     "vector<T> too long"
01306D8B  push aminstantservice.146C608                                     "vector<T> too long"
01306E11  push aminstantservice.146CEF4                                     "map/set<T> too long"
01307113  push aminstantservice.146CF08                                     "invalid map/set<T> iterator"
01307F90  push aminstantservice.146D344                                     "rundll"
013080A0  push aminstantservice.146D34C                                     "list<T> too long"
013088F2  push aminstantservice.146D770                                     "wxp"
01308909  push aminstantservice.146D768                                     "wxp64"
01308920  push aminstantservice.146D760                                     "wvista"
01308937  push aminstantservice.146D75C                                     "w7"
0130894E  push aminstantservice.146D758                                     "w8"
01308965  push aminstantservice.146D754                                     "w81"
0130897C  push aminstantservice.146D750                                     "w10"
01308993  push aminstantservice.146D74C                                     "wx"
013089AA  push aminstantservice.146D744                                     "unknown"
013089F9  push aminstantservice.146D744                                     "unknown"
01308A0A  push aminstantservice.146D778                                     "x86_64"
01308A1B  push aminstantservice.146D774                                     "x86"
01308BE2  push aminstantservice.146D390                                     "aminstanttmp"
01308C83  push aminstantservice.146D494                                     "kernel32.dll"
01308C98  push aminstantservice.146D4A4                                     "Wtsapi32.dll"
01308CA4  push aminstantservice.146D4B4                                     "advapi32.dll"
01308CCF  push aminstantservice.146D4D8                                     "WTSGetActiveConsoleSessionId"
01308CD7  push aminstantservice.146D4F8                                     "WTSQueryUserToken"
01308CE6  push aminstantservice.146D50C                                     "DuplicateTokenEx"
01308CF1  push aminstantservice.146D520                                     "ImpersonateLoggedOnUser"
01308DB2  mov dword ptr ss:[ebp-28],aminstantservice.146D4C4                "Cannot load library"
01308E20  push aminstantservice.146D6D4                                     "localhost"
01308F95  push aminstantservice.146D480                                     "--bring-to-top"
01308FD8  push aminstantservice.146D490                                     " %d"
01309107  push aminstantservice.146D6C4                                     "aminstant.log"
013091D2  push aminstantservice.146CEDC                                     "invalid string position"
013091F5  push aminstantservice.146CECC                                     "string too long"
01309210  push aminstantservice.146CECC                                     "string too long"
013092C4  push aminstantservice.146CECC                                     "string too long"
013092DB  push aminstantservice.146CECC                                     "string too long"
013094E9  push aminstantservice.146D6E0                                     "*%s"
013095F6  push aminstantservice.146CECC                                     "string too long"
01309611  push aminstantservice.146CECC                                     "string too long"
0130989B  push aminstantservice.146D538                                     "__ACTIVEMARK_INSTANT_PING_URL__"
013098DF  push aminstantservice.146D558                                     "__ACTIVEMARK_INSTANT_PING_URL__"
013098ED  push aminstantservice.146D578                                     "__ACTIVEMARK_INSTANT_PING_URL__"
01309909  push aminstantservice.146D598                                     "http://www.gamehouse.com/gathering/insertwrd"
01309A5C  push aminstantservice.146D5C8                                     "__ACTIVEMARK_INSTANT_PROFILER_URL__"
01309AA0  push aminstantservice.146D5EC                                     "__ACTIVEMARK_INSTANT_PROFILER_URL__"
