Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
00BE1241  push aminstantservice-8.60.20.D50898                              "    usage: aminstantservice COMMAND...\n"
00BE1255  push aminstantservice-8.60.20.D508C4                              "    commands:\n"
00BE1278  push aminstantservice-8.60.20.D508D4                              "      %-10s  -  %s\n"
00BE12B6  push aminstantservice-8.60.20.D508EC                              "aminstantservice v%d.%d.%d\n"
00BE12FC  mov edx,aminstantservice-8.60.20.D50908                           "--console"
00BE132C  mov edx,aminstantservice-8.60.20.D50914                           "--help"
00BE135C  mov edx,aminstantservice-8.60.20.D5091C                           "--version"
00BE196E  push aminstantservice-8.60.20.D50E64                              "invalid string position"
00BE1B5D  push aminstantservice-8.60.20.D50E54                              "string too long"
00BE1C15  push aminstantservice-8.60.20.D50E64                              "invalid string position"
00BE1C51  push aminstantservice-8.60.20.D50E54                              "string too long"
00BE1D5F  push aminstantservice-8.60.20.D50E54                              "string too long"
00BE1E53  push aminstantservice-8.60.20.D50928                              "*\\GameHouseApp.exe"
00BE225F  push aminstantservice-8.60.20.D5093C                              "gamehouse.com"
00BE22AB  push aminstantservice-8.60.20.D5094C                              "gamehousebeta.com"
00BE22F6  push aminstantservice-8.60.20.D50960                              "zibbo.com"
00BE2341  push aminstantservice-8.60.20.D5096C                              "zylom.com"
00BE238C  push aminstantservice-8.60.20.D50978                              "trygames.com"
00BE244F  push aminstantservice-8.60.20.D50C1C                              "activeMARK Instant Service"
00BE2476  push aminstantservice-8.60.20.D50C38                              "AMInstantService"
00BE254B  push aminstantservice-8.60.20.D50C4C                              "%s"
00BE257C  push aminstantservice-8.60.20.D50C50                              "Service has been successfully started!"
00BE262F  push aminstantservice-8.60.20.D50C78                              "activeMARK Instant Service"
00BE2656  push aminstantservice-8.60.20.D50C94                              "AMInstantService"
00BE272B  push aminstantservice-8.60.20.D50CA8                              "%s"
00BE275C  push aminstantservice-8.60.20.D50CAC                              "Service has been successfully stopped!"
00BE27F3  push aminstantservice-8.60.20.D50CD4                              "Enhances gaming experience from the web browsers"
00BE2815  push aminstantservice-8.60.20.D50D08                              "activeMARK Instant Service"
00BE283C  push aminstantservice-8.60.20.D50D24                              "AMInstantService"
00BE2904  push aminstantservice-8.60.20.D50D38                              "--service-run"
00BE297A  push aminstantservice-8.60.20.D50D48                              "%s"
00BE29AB  push aminstantservice-8.60.20.D50D4C                              "Service has been successfully installed!"
00BE2A44  push aminstantservice-8.60.20.D50D78                              "Enhances gaming experience from the web browsers"
00BE2A60  push aminstantservice-8.60.20.D50DAC                              "activeMARK Instant Service"
00BE2A87  push aminstantservice-8.60.20.D50DC8                              "AMInstantService"
00BE2C0F  push aminstantservice-8.60.20.D50DDC                              "activeMARK Instant Service"
00BE2C36  push aminstantservice-8.60.20.D50DF8                              "AMInstantService"
00BE2D0B  push aminstantservice-8.60.20.D50E0C                              "%s"
00BE2D3C  push aminstantservice-8.60.20.D50E10                              "Service has been successfully uninstalled!"
00BE2DD2  push aminstantservice-8.60.20.D50E90                              "invalid map/set<T> iterator"
00BE32CD  push aminstantservice-8.60.20.D50988                              "evt"
00BE32DD  push aminstantservice-8.60.20.D5098C                              "exception"
00BE3304  push aminstantservice-8.60.20.D50998                              "logname"
00BE3311  push aminstantservice-8.60.20.D509A0                              "am-aminstant-exception"
00BE3338  push aminstantservice-8.60.20.D509B8                              "exception"
00BE3345  push aminstantservice-8.60.20.D509C4                              "unhandled"
00BE336C  push aminstantservice-8.60.20.D509D0                              "exception_code"
00BE3384  push aminstantservice-8.60.20.D509E0                              "0x%08x"
00BE33C5  push aminstantservice-8.60.20.D509E8                              "exception_flags"
00BE33DB  push aminstantservice-8.60.20.D509F8                              "0x%08x"
00BE341C  push aminstantservice-8.60.20.D50A00                              "exception_address"
00BE3432  push aminstantservice-8.60.20.D50A14                              "0x%08x"
00BE3473  push aminstantservice-8.60.20.D50A1C                              "internal"
00BE34FF  push aminstantservice-8.60.20.D50A28                              "exception_address"
00BE350C  push aminstantservice-8.60.20.D50A3C                              "exception_flags"
00BE351D  push aminstantservice-8.60.20.D50A4C                              "exception_code"
00BE35C0  push aminstantservice-8.60.20.D50A5C                              "AmInstantService::exception: code=%s, flags=%s, address=%s"
00BE372A  mov ecx,aminstantservice-8.60.20.D50A98                           "exit"
00BE379B  push aminstantservice-8.60.20.D50AA0                              "v8.60.20 ActiveMARK[R] R8.60"
00BE37A3  push aminstantservice-8.60.20.D50AC0                              "Starting AmInstantService %s [SysUptime=%d s]"
00BE37FD  push aminstantservice-8.60.20.D50AF0                              "evt"
00BE3811  push aminstantservice-8.60.20.D50AF4                              "servicestart"
00BE3839  push aminstantservice-8.60.20.D50B04                              "logname"
00BE3846  push aminstantservice-8.60.20.D50B0C                              "am-aminstant-servicestart"
00BE386E  push aminstantservice-8.60.20.D50B28                              "internal"
00BE39D9  push aminstantservice-8.60.20.D50B34                              "Started!\n"
00BE39E6  push aminstantservice-8.60.20.D50B40                              "http"
00BE3AAF  push aminstantservice-8.60.20.D50BD4                              "Stopping service"
00BE3B57  push aminstantservice-8.60.20.D50B48                              "Unexpected error occurred: %s\n"
00BE3B71  push aminstantservice-8.60.20.D50B68                              "AmInstantService: unexpected error occurred (desc=%s)\n"
00BE3BA7  push aminstantservice-8.60.20.D50BA0                              "Unknown error"
00BE3BB4  push aminstantservice-8.60.20.D50BB0                              "AmInstantService: unknown exception"
00BE3C7F  push aminstantservice-8.60.20.D50BE8                              "activeMARK Instant Service"
00BE3CA6  push aminstantservice-8.60.20.D50C04                              "AMInstantService"
00BE3D80  push aminstantservice-8.60.20.D50C18                              "%s"
00BE3E0B  mov ecx,aminstantservice-8.60.20.D50E48                           "--console"
00BE3F62  push aminstantservice-8.60.20.D50EB0                              "Global\\AMInstantService"
00BE3FD3  push aminstantservice-8.60.20.D50EB0                              "Global\\AMInstantService"
00BE409E  push aminstantservice-8.60.20.D50EC8                              "firewallAPI.dll"
00BE40BD  push aminstantservice-8.60.20.D50ED8                              "NetworkIsolationEnumAppContainers"
00BE40C5  push aminstantservice-8.60.20.D50EFC                              "NetworkIsolationSetAppContainerConfig"
00BE4147  push aminstantservice-8.60.20.D50F24                              "windows_ie_ac"
00BE439E  push aminstantservice-8.60.20.D50F38                              "\" "
00BE45CE  push aminstantservice-8.60.20.D51164                              "kernel32.dll"
00BE45EC  push aminstantservice-8.60.20.D51174                              "Wtsapi32.dll"
00BE45F8  push aminstantservice-8.60.20.D51184                              "advapi32.dll"
00BE4602  push aminstantservice-8.60.20.D51194                              "Userenv.dll"
00BE4637  push aminstantservice-8.60.20.D511B4                              "WTSEnumerateSessionsW"
00BE463F  push aminstantservice-8.60.20.D511CC                              "WTSFreeMemory"
00BE464C  push aminstantservice-8.60.20.D511DC                              "WTSQueryUserToken"
00BE4659  push aminstantservice-8.60.20.D511F0                              "CreateEnvironmentBlock"
00BE466A  push aminstantservice-8.60.20.D51208                              "DestroyEnvironmentBlock"
00BE4675  push aminstantservice-8.60.20.D51220                              "DuplicateTokenEx"
00BE47AE  push aminstantservice-8.60.20.D51274                              "\" "
00BE47C3  mov dword ptr ss:[ebp-11C],aminstantservice-8.60.20.D51250        L"Winsta0\\Default"
00BE4915  mov dword ptr ss:[ebp-70],aminstantservice-8.60.20.D51234         "Cannot get a valid token"
00BE494E  mov dword ptr ss:[ebp-64],aminstantservice-8.60.20.D511A0         "Cannot load library"
00BE4B22  push B0000                                                        L"rige)"
00BE4E1A  push aminstantservice-8.60.20.D51304                              "kernel32.dll"
00BE4E36  push aminstantservice-8.60.20.D51314                              "GetModuleFileNameExW"
00BE4E48  push aminstantservice-8.60.20.D5132C                              "psapi.dll"
00BE4E55  push aminstantservice-8.60.20.D51338                              "GetModuleFileNameExW"
00BE50FE  push aminstantservice-8.60.20.D50F3C                              "kernel32.dll"
00BE5119  push aminstantservice-8.60.20.D50F4C                              "Wtsapi32.dll"
00BE5125  push aminstantservice-8.60.20.D50F5C                              "advapi32.dll"
00BE512F  push aminstantservice-8.60.20.D50F6C                              "Userenv.dll"
00BE5164  push aminstantservice-8.60.20.D50F8C                              "WTSEnumerateSessionsW"
00BE516C  push aminstantservice-8.60.20.D50FA4                              "WTSFreeMemory"
00BE5176  push aminstantservice-8.60.20.D50FB4                              "WTSQueryUserToken"
00BE5184  push aminstantservice-8.60.20.D50FC8                              "CreateEnvironmentBlock"
00BE518F  push aminstantservice-8.60.20.D50FE0                              "DestroyEnvironmentBlock"
00BE519D  push aminstantservice-8.60.20.D50FF8                              "DuplicateTokenEx"
00BE52AA  mov dword ptr ss:[ebp-70],aminstantservice-8.60.20.D5100C         "Cannot get a valid token"
00BE5409  push aminstantservice-8.60.20.D5104C                              "\" "
00BE541E  mov dword ptr ss:[ebp-114],aminstantservice-8.60.20.D51028        L"Winsta0\\Default"
00BE5591  mov dword ptr ss:[ebp-68],aminstantservice-8.60.20.D50F78         "Cannot load library"
00BE56DF  push aminstantservice-8.60.20.D51050                              "kernel32.dll"
00BE56EC  push aminstantservice-8.60.20.D51060                              "Wtsapi32.dll"
00BE56F8  push aminstantservice-8.60.20.D51070                              "advapi32.dll"
00BE5702  push aminstantservice-8.60.20.D51080                              "Userenv.dll"
00BE5737  push aminstantservice-8.60.20.D510A0                              "WTSEnumerateSessionsW"
00BE573F  push aminstantservice-8.60.20.D510B8                              "WTSFreeMemory"
00BE5749  push aminstantservice-8.60.20.D510C8                              "WTSQueryUserToken"
00BE5757  push aminstantservice-8.60.20.D510DC                              "CreateEnvironmentBlock"
00BE5762  push aminstantservice-8.60.20.D510F4                              "DestroyEnvironmentBlock"
00BE5770  push aminstantservice-8.60.20.D5110C                              "DuplicateTokenEx"
00BE5875  mov dword ptr ss:[ebp-80],aminstantservice-8.60.20.D51120         "Cannot get a valid token"
00BE59CC  push aminstantservice-8.60.20.D51160                              "\" "
00BE59E1  mov dword ptr ss:[ebp-124],aminstantservice-8.60.20.D5113C        L"Winsta0\\Default"
00BE5BF0  mov dword ptr ss:[ebp-78],aminstantservice-8.60.20.D5108C         "Cannot load library"
00BE5DCD  push aminstantservice-8.60.20.D51358                              "list<T> too long"
00BE5E47  push aminstantservice-8.60.20.D50E7C                              "map/set<T> too long"
00BE6520  push aminstantservice-8.60.20.D51358                              "list<T> too long"
00BE6658  push aminstantservice-8.60.20.D5059C                              "vector<T> too long"
00BE68AB  push aminstantservice-8.60.20.D5059C                              "vector<T> too long"
00BE6931  push aminstantservice-8.60.20.D50E7C                              "map/set<T> too long"
00BE6C33  push aminstantservice-8.60.20.D50E90                              "invalid map/set<T> iterator"
00BE7AB0  push aminstantservice-8.60.20.D51350                              "rundll"
00BE7BC0  push aminstantservice-8.60.20.D51358                              "list<T> too long"
00BE82F2  push aminstantservice-8.60.20.D5139C                              "aminstanttmp"
00BE8393  push aminstantservice-8.60.20.D514A0                              "kernel32.dll"
00BE83A8  push aminstantservice-8.60.20.D514B0                              "Wtsapi32.dll"
00BE83B4  push aminstantservice-8.60.20.D514C0                              "advapi32.dll"
00BE83DF  push aminstantservice-8.60.20.D514E4                              "WTSGetActiveConsoleSessionId"
00BE83E7  push aminstantservice-8.60.20.D51504                              "WTSQueryUserToken"
00BE83F6  push aminstantservice-8.60.20.D51518                              "DuplicateTokenEx"
00BE8401  push aminstantservice-8.60.20.D5152C                              "ImpersonateLoggedOnUser"
00BE84C2  mov dword ptr ss:[ebp-28],aminstantservice-8.60.20.D514D0         "Cannot load library"
00BE8530  push aminstantservice-8.60.20.D515E8                              "localhost"
00BE86A5  push aminstantservice-8.60.20.D5148C                              "--bring-to-top"
00BE86E8  push aminstantservice-8.60.20.D5149C                              " %d"
00BE8817  push aminstantservice-8.60.20.D515D8                              "aminstant.log"
00BE8902  push aminstantservice-8.60.20.D50E64                              "invalid string position"
00BE8925  push aminstantservice-8.60.20.D50E54                              "string too long"
00BE8940  push aminstantservice-8.60.20.D50E54                              "string too long"
00BE89F4  push aminstantservice-8.60.20.D50E54                              "string too long"
00BE8A0B  push aminstantservice-8.60.20.D50E54                              "string too long"
00BE8B39  push aminstantservice-8.60.20.D515F4                              "*%s"
00BE8C46  push aminstantservice-8.60.20.D50E54                              "string too long"
00BE8C61  push aminstantservice-8.60.20.D50E54                              "string too long"
00BE8ECC  push aminstantservice-8.60.20.D51544                              "__ACTIVEMARK_INSTANT_PROFILER_URL__"
00BE8F10  push aminstantservice-8.60.20.D51568                              "__ACTIVEMARK_INSTANT_PROFILER_URL__"
00BE8F1E  push aminstantservice-8.60.20.D5158C                              "__ACTIVEMARK_INSTANT_PROFILER_URL__"
00BE8F3A  push aminstantservice-8.60.20.D515B0                              "http://profiler-cdn.am.gamehouse.com"
00BE9139  push aminstantservice-8.60.20.D51370                              "package.json"
00BE924D  push aminstantservice-8.60.20.D51380                              "name"
00BE92F0  push aminstantservice-8.60.20.D51388                              "aminstantservice"
00BE94F2  push aminstantservice-8.60.20.D51738                              "wxp"
00BE9509  push aminstantservice-8.60.20.D51730                              "wxp64"
00BE9520  push aminstantservice-8.60.20.D51728                              "wvista"
00BE9537  push aminstantservice-8.60.20.D51724                              "w7"
00BE954E  push aminstantservice-8.60.20.D51720                              "w8"
00BE9565  push aminstantservice-8.60.20.D5171C                              "w81"
00BE957C  push aminstantservice-8.60.20.D51718                              "w10"
00BE9593  push aminstantservice-8.60.20.D51714                              "wx"
00BE95AA  push aminstantservice-8.60.20.D5170C                              "unknown"
00BE95F9  push aminstantservice-8.60.20.D5170C                              "unknown"
00BE960A  push aminstantservice-8.60.20.D51740                              "x86_64"
00BE961B  push aminstantservice-8.60.20.D5173C                              "x86"
00BE965A  push aminstantservice-8.60.20.D515FC                              "pending-requests.json"
00BE99CB  push aminstantservice-8.60.20.D5167C                              "__ACTIVEMARK_INSTANT_PING_URL__"
00BE9A0F  push aminstantservice-8.60.20.D5169C                              "__ACTIVEMARK_INSTANT_PING_URL__"
00BE9A1D  push aminstantservice-8.60.20.D516BC                              "__ACTIVEMARK_INSTANT_PING_URL__"
00BE9A39  push aminstantservice-8.60.20.D516DC                              "http://www.gamehouse.com/gathering/insertwrd"
00BEA017  push aminstantservice-8.60.20.D51614                              "userid"
00BEA085  push aminstantservice-8.60.20.D5161C                              "deviceid"
00BEA101  push aminstantservice-8.60.20.D51628                              "arch"
00BEA194  push aminstantservice-8.60.20.D51630                              "os"
00BEA219  push aminstantservice-8.60.20.D51634                              "browserversion"
00BEA282  push aminstantservice-8.60.20.D51650                              "component"
00BEA290  push aminstantservice-8.60.20.D51644                              "aminstant"
00BEA2F8  push aminstantservice-8.60.20.D5165C                              "subcomponent"
00BEA36E  push aminstantservice-8.60.20.D5166C                              "version"
00BEA411  push aminstantservice-8.60.20.D51674                              "logtime"
00BEA548  push aminstantservice-8.60.20.D51A98                              "wscript.exe //E:JScript"
00BEA568  push aminstantservice-8.60.20.D51AB0                              " /B"
00BEA5D6  push aminstantservice-8.60.20.D51AB4                              " /T:"
00BEA63D  push aminstantservice-8.60.20.D51ABC                              " \""
00BEA9B2  push aminstantservice-8.60.20.D517C4                              "contentid"
00BEA9EC  push aminstantservice-8.60.20.D517D0                              "install_path"
00BEAA1F  push aminstantservice-8.60.20.D517E0                              "executable_path"
00BEAA52  push aminstantservice-8.60.20.D517F0                              "tracking"
00BEAA85  push aminstantservice-8.60.20.D517FC                              "name"
00BEAAB8  push aminstantservice-8.60.20.D51804                              "installation_time"
00BEAC11  push aminstantservice-8.60.20.D51A90                              ".dat"
00BEAEAF  push aminstantservice-8.60.20.D51790                              "acid.json"
00BEB02A  push aminstantservice-8.60.20.D5179C                              "actions"
00BEB069  push aminstantservice-8.60.20.D517A4                              "actions"
00BEB0D2  push aminstantservice-8.60.20.D517AC                              "executable"
00BEB111  push aminstantservice-8.60.20.D517B8                              "executable"
00BEB43E  push aminstantservice-8.60.20.D5059C                              "vector<T> too long"
00BEB79A  push aminstantservice-8.60.20.D5059C                              "vector<T> too long"
00BEB9A6  push aminstantservice-8.60.20.D51818                              ".dat"
00BEBA3A  push aminstantservice-8.60.20.D51820                              "var fso = new ActiveXObject('Scripting.FileSystemObject');\n"
00BEBA4D  push aminstantservice-8.60.20.D5185C                              "var shell = new ActiveXObject ('WScript.Shell');\n"
00BEBACE  push aminstantservice-8.60.20.D518E8                              "', true); } catch (e) {}\n"
00BEBAE4  push aminstantservice-8.60.20.D518E0                              "\\'"
00BEBB16  push aminstantservice-8.60.20.D518D8                              "\\\\"
00BEBB45  push aminstantservice-8.60.20.D518C0                              "')) fso.DeleteFolder ('"
00BEBB5B  push aminstantservice-8.60.20.D518B8                              "\\'"
00BEBB8A  push aminstantservice-8.60.20.D518B0                              "\\\\"
00BEBBBC  push aminstantservice-8.60.20.D51890                              "try { if (fso.FolderExists ('"
00BEBDFD  push aminstantservice-8.60.20.D51958                              "', true); } catch (e) {}\n"
00BEBE16  push aminstantservice-8.60.20.D51950                              "\\'"
00BEBE48  push aminstantservice-8.60.20.D51948                              "\\\\"
00BEBE77  push aminstantservice-8.60.20.D51930                              "')) fso.DeleteFile ('"
00BEBE8D  push aminstantservice-8.60.20.D51928                              "\\'"
00BEBEBC  push aminstantservice-8.60.20.D51920                              "\\\\"
00BEBEEE  push aminstantservice-8.60.20.D51904                              "try { if (fso.FileExists ('"
00BEC12D  push aminstantservice-8.60.20.D519A4                              "'); } catch (e) {}\n"
00BEC146  push aminstantservice-8.60.20.D5199C                              "\\'"
00BEC172  push aminstantservice-8.60.20.D51994                              "\\\\"
00BEC1A4  push aminstantservice-8.60.20.D51990                              "\\\\"
00BEC1BD  push aminstantservice-8.60.20.D51974                              "try { shell.RegDelete ('"
00BEC31B  push aminstantservice-8.60.20.D51A30                              "fso.DeleteFolder (rootDir, true); } catch (e) {}\n"
00BEC331  push aminstantservice-8.60.20.D519F0                              "try { if (rootDir.SubFolders.count + rootDir.Files.count == 0) "
00BEC34A  push aminstantservice-8.60.20.D519E8                              "');\n"
00BEC360  push aminstantservice-8.60.20.D519E0                              "\\'"
