Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
002A1041  push aminstantservice-8.50.6.0.40D7B8                             "    usage: aminstantservice COMMAND...\n"
002A1055  push aminstantservice-8.50.6.0.40D7E4                             "    commands:\n"
002A1078  push aminstantservice-8.50.6.0.40D7F4                             "      %-10s  -  %s\n"
002A10B6  push aminstantservice-8.50.6.0.40D80C                             "aminstantservice v%d.%d.%d\n"
002A10FC  mov edx,aminstantservice-8.50.6.0.40D828                          "--console"
002A112C  mov edx,aminstantservice-8.50.6.0.40D834                          "--help"
002A115C  mov edx,aminstantservice-8.50.6.0.40D83C                          "--version"
002A14EE  push aminstantservice-8.50.6.0.40DD88                             "invalid string position"
002A16DD  push aminstantservice-8.50.6.0.40DD78                             "string too long"
002A1795  push aminstantservice-8.50.6.0.40DD88                             "invalid string position"
002A17D1  push aminstantservice-8.50.6.0.40DD78                             "string too long"
002A18DF  push aminstantservice-8.50.6.0.40DD78                             "string too long"
002A19C1  push aminstantservice-8.50.6.0.40DDA0                             "map/set<T> too long"
002A1C43  push aminstantservice-8.50.6.0.40D848                             "*\\GameHouseApp.exe"
002A20DF  push aminstantservice-8.50.6.0.40D85C                             "gamehouse.com"
002A212B  push aminstantservice-8.50.6.0.40D86C                             "gamehousebeta.com"
002A2176  push aminstantservice-8.50.6.0.40D880                             "zibbo.com"
002A21C1  push aminstantservice-8.50.6.0.40D88C                             "zylom.com"
002A220C  push aminstantservice-8.50.6.0.40D898                             "trygames.com"
002A22CF  push aminstantservice-8.50.6.0.40DB34                             "activeMARK Instant Service"
002A22F6  push aminstantservice-8.50.6.0.40DB50                             "AMInstantService"
002A23CB  push aminstantservice-8.50.6.0.40DB64                             "%s"
002A23FC  push aminstantservice-8.50.6.0.40DB68                             "Service has been successfully started!"
002A24AF  push aminstantservice-8.50.6.0.40DB90                             "activeMARK Instant Service"
002A24D6  push aminstantservice-8.50.6.0.40DBAC                             "AMInstantService"
002A25AB  push aminstantservice-8.50.6.0.40DBC0                             "%s"
002A25DC  push aminstantservice-8.50.6.0.40DBC4                             "Service has been successfully stopped!"
002A2673  push aminstantservice-8.50.6.0.40DBEC                             "Enhances gaming experience from the web browsers"
002A2695  push aminstantservice-8.50.6.0.40DC20                             "activeMARK Instant Service"
002A26BC  push aminstantservice-8.50.6.0.40DC3C                             "AMInstantService"
002A2784  push aminstantservice-8.50.6.0.40DC50                             "--service-run"
